Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
"Yediyur","2,17,584","2,15,964","1,73,558","1,16,380","1,14,022","77,289","99.3%","80.4%","67.1%","98.0%","36,701","32.2%","35.5%","₹93,36,611","6.16","₹111.86","5,24,159"
"RBI layout","2,38,409","2,36,384","1,91,958","1,14,847","1,12,912","75,034","99.2%","81.2%","59.8%","98.3%","37,859","33.5%","31.5%","₹1,03,08,499","7.74","₹138.01","5,86,125"
"Basavanagudi","1,86,676","1,85,269","1,41,789","1,07,661","1,05,222","74,855","99.3%","76.5%","75.9%","97.7%","30,342","28.8%","40.1%","₹87,39,365","5.93","₹106.91","4,94,307"
"Ashoka Pillar","2,40,165","2,38,394","1,93,374","1,16,459","1,14,382","74,768","99.3%","81.1%","60.2%","98.2%","39,588","34.6%","31.1%","₹88,92,465","6.24","₹113.58","4,95,915"
"Shanthi Nagar","2,95,377","2,93,117","2,50,398","1,19,619","1,17,491","74,214","99.2%","85.4%","47.8%","98.2%","43,247","36.8%","25.1%","₹88,32,651","6.12","₹113.80","4,89,106"
"Hebbala","2,10,018","2,08,859","1,60,264","1,13,237","1,11,227","74,191","99.5%","76.7%","70.7%","98.2%","37,015","33.3%","35.3%","₹1,04,51,800","7.18","₹128.16","6,00,960"
"Jakkasandra","2,93,539","2,90,421","2,34,646","1,22,559","1,20,381","71,542","98.9%","80.8%","52.2%","98.2%","48,812","40.6%","24.4%","₹1,00,09,357","7.65","₹137.15","5,61,808"
"Vasanthpura","1,97,481","1,95,766","1,46,501","1,06,645","1,04,593","71,270","99.1%","74.8%","72.8%","98.1%","33,305","31.8%","36.1%","₹91,66,566","7.22","₹127.94","5,22,826"
"Chatrapati Shivaji","2,46,998","2,45,430","1,68,460","1,23,534","1,21,287","70,969","99.4%","68.6%","73.3%","98.2%","50,282","41.5%","28.7%","₹1,18,52,321","10.02","₹176.51","6,84,706"
"Ganga Nagar","1,88,574","1,87,413","1,43,991","1,05,956","1,03,887","70,862","99.4%","76.8%","73.6%","98.0%","33,000","31.8%","37.6%","₹91,41,119","6.67","₹120.88","5,17,686"
"Veeramadakari","2,20,637","2,19,153","1,62,699","1,11,091","1,08,624","70,763","99.3%","74.2%","68.3%","97.8%","37,831","34.8%","32.1%","₹93,32,952","7.09","₹125.90","5,37,835"
"Kodigehalli","1,96,145","1,94,961","1,49,308","1,07,883","1,05,725","70,564","99.4%","76.6%","72.3%","98.0%","35,140","33.2%","36.0%","₹1,02,30,486","7.60","₹133.63","5,93,640"
"Chunchaghatta","2,17,645","2,15,880","1,68,160","1,02,629","1,00,846","69,785","99.2%","77.9%","61.0%","98.3%","31,050","30.8%","32.1%","₹98,09,361","8.04","₹142.83","5,61,909"
"Girinagar","1,51,298","1,50,124","1,09,429","94,526","92,674","68,559","99.2%","72.9%","86.4%","98.0%","24,098","26.0%","45.3%","₹81,20,554","6.16","₹110.86","4,64,514"
"Vidyaranyapura","1,62,334","1,61,161","1,15,878","94,688","92,989","68,434","99.3%","71.9%","81.7%","98.2%","24,532","26.4%","42.2%","₹1,02,60,458","8.23","₹142.87","6,01,776"
"Puttenahalli - Sarakki Lake","2,07,078","2,05,166","1,62,436","1,05,664","1,03,627","68,322","99.1%","79.2%","65.0%","98.1%","35,287","34.1%","33.0%","₹89,25,759","6.89","₹124.26","5,02,544"
"Vijnana Nagar","2,84,810","2,82,184","2,36,325","1,02,203","1,00,939","67,616","99.1%","83.7%","43.3%","98.8%","33,306","33.0%","23.7%","₹1,04,84,765","8.31","₹148.27","5,91,561"
"Ramamurthy Nagara","2,32,429","2,31,146","1,81,021","1,02,245","1,00,972","66,479","99.5%","78.3%","56.5%","98.8%","34,467","34.1%","28.6%","₹93,19,066","7.22","₹130.58","5,26,973"
"Kacharkanahalli","1,91,730","1,90,608","1,51,235","1,00,993","99,607","65,419","99.4%","79.3%","66.8%","98.6%","34,157","34.3%","34.1%","₹83,39,738","6.79","₹123.42","4,68,312"
"New Bayappanahalli","2,54,107","2,52,254","2,09,679","1,08,901","1,07,300","65,408","99.3%","83.1%","51.9%","98.5%","41,874","39.0%","25.7%","₹88,28,102","6.72","₹121.67","4,95,902"
"Uttarahalli","1,86,490","1,85,055","1,40,087","98,160","95,735","65,255","99.2%","75.7%","70.1%","97.5%","30,463","31.8%","35.0%","₹83,20,142","7.63","₹135.69","4,73,598"
"Begur","2,65,563","2,63,194","2,09,042","1,06,436","1,04,409","65,013","99.1%","79.4%","50.9%","98.1%","39,383","37.7%","24.5%","₹1,08,98,601","9.51","₹165.47","6,32,169"
"Kaval Bairasandra","1,93,601","1,92,567","1,52,405","97,995","96,136","63,841","99.5%","79.1%","64.3%","98.1%","32,275","33.6%","33.0%","₹85,33,133","6.86","₹124.91","4,83,576"
"Malleswaram","1,66,854","1,65,380","1,22,220","93,842","91,944","63,512","99.1%","73.9%","76.8%","98.0%","28,406","30.9%","38.1%","₹76,87,376","6.73","₹120.55","4,36,550"
"Varthuru","4,02,250","3,90,539","3,24,590","1,05,265","1,03,606","62,888","97.1%","83.1%","32.4%","98.4%","40,705","39.3%","15.6%","₹1,29,61,411","10.96","₹190.49","7,59,723"
"Hagadur","2,78,239","2,74,893","2,17,235","1,04,341","1,02,653","62,887","98.8%","79.0%","48.0%","98.4%","39,751","38.7%","22.6%","₹1,11,27,797","8.77","₹153.23","6,43,245"
"Padmanabha Nagar","1,58,399","1,57,105","1,20,091","90,719","88,380","62,331","99.2%","76.4%","75.5%","97.4%","26,035","29.5%","39.4%","₹73,40,332","6.31","₹113.41","4,14,667"
"Chamrajapet","2,00,517","1,98,991","1,50,994","1,04,756","1,02,838","61,777","99.2%","75.9%","69.4%","98.2%","41,031","39.9%","30.8%","₹77,86,960","6.75","₹120.21","4,45,176"
"Umamaheshwara Ward","1,64,543","1,63,007","1,25,458","91,960","89,945","61,347","99.1%","77.0%","73.3%","97.8%","28,580","31.8%","37.3%","₹74,19,194","5.88","₹107.51","4,18,110"
"Yelahanka Satellite Town","1,69,746","1,68,473","1,20,260","96,807","95,135","61,324","99.3%","71.4%","80.5%","98.3%","33,788","35.5%","36.1%","₹98,08,967","8.69","₹149.50","5,77,463"
"Anjanapura","1,81,644","1,79,006","1,35,191","91,485","88,729","60,694","98.6%","75.5%","67.7%","97.0%","28,021","31.6%","33.4%","₹91,40,657","8.31","₹144.46","5,31,947"
"Jayachamarajendra  Nagar","1,67,767","1,66,630","1,30,339","90,839","89,181","60,216","99.3%","78.2%","69.7%","98.2%","28,949","32.5%","35.9%","₹78,87,322","6.65","₹120.71","4,47,086"
"Jayamahal","1,99,847","1,98,600","1,54,332","96,533","95,354","57,697","99.4%","77.7%","62.5%","98.8%","37,629","39.5%","28.9%","₹81,78,556","7.08","₹130.82","4,49,166"
"Shettihalli","1,72,369","1,70,961","1,21,801","87,975","86,145","56,658","99.2%","71.2%","72.2%","97.9%","29,465","34.2%","32.9%","₹76,92,274","7.57","₹131.12","4,50,388"
"Lakkasandra","2,44,683","2,42,974","2,02,937","96,480","94,954","56,502","99.3%","83.5%","47.5%","98.4%","38,431","40.5%","23.1%","₹73,61,671","6.97","₹126.23","4,13,147"
"Dattatreya Temple","1,39,810","1,38,323","1,04,347","81,795","80,384","56,306","98.9%","75.4%","78.4%","98.3%","24,051","29.9%","40.3%","₹70,92,611","6.58","₹118.04","4,04,266"
"Medahalli","2,10,416","2,08,912","1,60,872","89,864","88,720","56,103","99.3%","77.0%","55.9%","98.7%","32,596","36.7%","26.7%","₹95,02,663","8.86","₹157.11","5,52,030"
"K R Puram","2,46,849","2,45,151","1,81,931","96,758","95,586","55,788","99.3%","74.2%","53.2%","98.8%","39,775","41.6%","22.6%","₹87,30,663","8.15","₹144.68","5,01,154"
"Garudachar Playa","2,33,812","2,32,336","1,91,372","97,957","96,448","55,750","99.4%","82.4%","51.2%","98.5%","40,674","42.2%","23.8%","₹90,38,348","8.30","₹147.09","5,10,788"
"Katriguppe","1,36,402","1,35,253","1,00,769","81,074","79,166","55,446","99.2%","74.5%","80.5%","97.6%","23,701","29.9%","40.6%","₹64,75,234","6.52","₹117.47","3,66,779"
"Devarachikkanahalli","2,26,563","2,24,459","1,81,209","88,766","87,174","55,262","99.1%","80.7%","49.0%","98.2%","31,900","36.6%","24.4%","₹83,43,832","8.29","₹147.16","4,75,621"
"Kempegowda Ward","2,23,033","2,20,550","1,58,743","91,311","89,805","54,974","98.9%","72.0%","57.5%","98.4%","34,816","38.8%","24.6%","₹99,49,162","9.86","₹168.46","5,92,827"
"Neelasandra","2,20,700","2,19,466","1,87,313","90,231","88,979","54,805","99.4%","85.3%","48.2%","98.6%","34,144","38.4%","24.8%","₹64,63,739","5.83","₹110.57","3,52,007"
"Kumaraswamy Layout","1,43,853","1,42,737","1,05,455","82,322","80,684","54,590","99.2%","73.9%","78.1%","98.0%","26,080","32.3%","38.0%","₹63,71,132","6.39","₹114.23","3,58,192"
"Thanisandra","1,55,904","1,55,006","1,13,130","84,772","82,935","54,435","99.4%","73.0%","74.9%","97.8%","28,487","34.4%","34.9%","₹87,98,989","8.64","₹150.70","5,14,432"
"Attiguppe","1,22,277","1,21,113","83,123","74,314","72,200","52,845","99.1%","68.6%","89.4%","97.2%","19,332","26.8%","43.2%","₹64,67,725","6.97","₹123.87","3,69,824"
"Ramaswamy Palya","1,58,326","1,57,576","1,31,163","78,156","76,894","52,575","99.5%","83.2%","59.6%","98.4%","24,304","31.6%","33.2%","₹62,18,113","6.07","₹112.24","3,44,823"
"Sudham Nagara","2,07,651","2,06,119","1,68,626","88,531","86,990","51,838","99.3%","81.8%","52.5%","98.3%","35,118","40.4%","25.0%","₹71,47,733","7.44","₹132.63","4,06,732"
"Kanneshwara Rama","1,37,753","1,36,778","1,02,151","76,606","75,289","50,824","99.3%","74.7%","75.0%","98.3%","24,444","32.5%","36.9%","₹66,66,800","7.24","₹126.82","3,83,834"
"Gurappanapalya","2,19,358","2,17,350","1,75,884","97,073","95,401","50,729","99.1%","80.9%","55.2%","98.3%","44,650","46.8%","23.1%","₹65,98,625","6.94","₹126.23","3,66,661"
"Basavanapura","2,21,845","2,20,103","1,69,213","83,635","82,367","50,465","99.2%","76.9%","49.4%","98.5%","31,894","38.7%","22.8%","₹88,71,533","9.62","₹168.17","5,16,880"
